Time_step,Transaction_Id,Sender_Id,Sender_Account,Sender_Country,Sender_Gender,Sender_Sector,Sender_lob,Bene_Id,Bene_Account,Bene_Country,Bene_Gender,USD_amount,Label,Transaction_Type
15/03/2022 22:24,QUICK-PAYMENT-3176,JPMC-CLIENT-3155,ACCOUNT-3165,USA,Male,6152,CCB,CLIENT-3173,ACCOUNT-3174,United States Of America,Male,319.21,0,QUICK-PAYMENT
15/03/2022 22:24,QUICK-PAYMENT-1717,CLIENT-1714,ACCOUNT-1715,USA,Male,22417,CCB,JPMC-CLIENT-1696,ACCOUNT-1706,United States Of America,Female,847.55,0,QUICK-PAYMENT
15/03/2022 22:24,MAKE-PAYMENT-552,JPMC-CLIENT-536,ACCOUNT-546,USA,Male,36152,CCB,CLIENT-539,ACCOUNT-548,United States Of America,N/A,597.52,0,MAKE-PAYMENT
15/03/2022 22:34,PAY-BILL-10117,JPMC-CLIENT-10098,ACCOUNT-10108,USA,Female,37835,CCB,JPMC-COMPANY-10104,ACCOUNT-10107,Palestine,Female,113,0,MAKE-PAYMENT
15/03/2022 22:34,QUICK-PAYMENT-5582,JPMC-CLIENT-5558,ACCOUNT-5570,USA,Male,63,CCB,CLIENT-5560,ACCOUNT-5574,United States Of America,Male,913.5,0,QUICK-PAYMENT
15/03/2022 22:44,QUICK-PAYMENT-10120,JPMC-CLIENT-10098,ACCOUNT-10109,USA,Male,17135,CCB,CLIENT-10100,ACCOUNT-10106,Canada,Female,100.3,0,QUICK-PAYMENT
15/03/2022 22:44,CASH-CHECK-7070,,,,Female,,,JPMC-CLIENT-7048,ACCOUNT-7058,United States Of America,Female,247.85,0,DEPOSIT-CHECK
15/03/2022 22:44,QUICK-PAYMENT-6149,JPMC-CLIENT-6127,ACCOUNT-6137,USA,N/A,3211,CCB,CLIENT-6145,ACCOUNT-6146,United States Of America,Female,827,0,QUICK-PAYMENT
15/03/2022 22:44,QUICK-PAYMENT-3461,CLIENT-3457,ACCOUNT-3458,USA,Female,20682,CCB,JPMC-CLIENT-3439,ACCOUNT-3450,United States Of America,N/A,330.86,0,QUICK-PAYMENT
15/03/2022 22:44,MAKE-PAYMENT-3178,JPMC-CLIENT-3155,ACCOUNT-3165,USA,Male,41218,CCB,COMPANY-3162,ACCOUNT-3171,Somalia,Female,639.54,0,MAKE-PAYMENT
15/03/2022 22:44,MOVE-FUNDS-2968,JPMC-CLIENT-2948,ACCOUNT-2959,USA,Female,16931,CCB,COMPANY-2955,ACCOUNT-2964,United States Of America,Female,166.22,0,MOVE-FUNDS
15/03/2022 22:44,QUICK-PAYMENT-2515,CLIENT-2510,ACCOUNT-2511,DOMINICA,Male,9578,CCB,JPMC-CLIENT-2492,ACCOUNT-2502,United States Of America,Male,255,0,QUICK-PAYMENT
15/03/2022 22:54,QUICK-PAYMENT-10122,JPMC-CLIENT-10098,ACCOUNT-10109,USA,Male,23585,CCB,JPMC-COMPANY-10104,ACCOUNT-10107,Palestine,Male,281.48,0,QUICK-PAYMENT
15/03/2022 22:54,PAY-CHECK-3179,CLIENT-3173,ACCOUNT-3174,USA,Male,45577,CCB,JPMC-CLIENT-3155,ACCOUNT-3166,United States Of America,Female,940,0,PAY-CHECK
15/03/2022 23:14,MOVE-FUNDS-5871,JPMC-CLIENT-5845,ACCOUNT-5856,USA,Male,43770,CCB,CLIENT-5863,ACCOUNT-5864,United States Of America,N/A,631,0,MOVE-FUNDS
16/03/2022 10:24,DEPOSIT-CHECK-8200,,,,N/A,,,JPMC-CLIENT-8177,ACCOUNT-8188,United States Of America,N/A,814.3,0,DEPOSIT-CHECK
16/03/2022 10:24,PAY-BILL-7353,JPMC-CLIENT-7329,ACCOUNT-7343,USA,Female,35364,CCB,JPMC-COMPANY-7333,ACCOUNT-7339,Germany,Male,831.84,0,MAKE-PAYMENT
16/03/2022 10:24,QUICK-DEPOSIT-5552,,,,Male,,,JPMC-CLIENT-5529,ACCOUNT-5540,United States Of America,Female,324.15,0,DEPOSIT-CASH
16/03/2022 10:24,WITHDRAWAL-553,JPMC-CLIENT-536,ACCOUNT-546,USA,Female,5925,CCB,,,,Male,100,0,EXCHANGE
16/03/2022 10:34,WITHDRAWAL-5584,JPMC-CLIENT-5558,ACCOUNT-5569,USA,Male,18662,CCB,,,,N/A,828.33,0,WITHDRAWAL
16/03/2022 10:34,PAY-BILL-2227,JPMC-CLIENT-2208,ACCOUNT-2218,USA,Female,37681,CCB,COMPANY-2214,ACCOUNT-2223,Guinea,Male,515,0,MAKE-PAYMENT
16/03/2022 10:44,QUICK-PAYMENT-7921,JPMC-CLIENT-7896,ACCOUNT-7906,USA,Female,36271,CCB,CLIENT-7914,ACCOUNT-7915,Niger,Female,943.64,0,QUICK-PAYMENT
16/03/2022 10:44,DEPOSIT-CHECK-7355,,,,Male,,,JPMC-CLIENT-7329,ACCOUNT-7343,United States Of America,Male,820,0,DEPOSIT-CHECK
16/03/2022 10:44,WITHDRAWAL-4220,JPMC-CLIENT-4196,ACCOUNT-4207,USA,Female,33951,CCB,,,,Male,787,0,EXCHANGE
16/03/2022 10:54,PAY-BILL-5146,JPMC-CLIENT-5119,ACCOUNT-5129,USA,N/A,46970,CCB,COMPANY-5126,ACCOUNT-5135,United States Of America,Female,828.55,0,MAKE-PAYMENT
16/03/2022 11:04,DEPOSIT-CHECK-8973,,,,Male,,,JPMC-CLIENT-8947,ACCOUNT-8958,United States Of America,Male,197,0,DEPOSIT-CHECK
16/03/2022 11:04,QUICK-PAYMENT-6720,CLIENT-6698,ACCOUNT-6705,USA,Female,4142,CCB,JPMC-CLIENT-6696,ACCOUNT-6707,United States Of America,Female,493.83,0,QUICK-PAYMENT
16/03/2022 11:04,PAY-BILL-5250,JPMC-CLIENT-5222,ACCOUNT-5233,USA,Female,41035,CCB,COMPANY-5228,ACCOUNT-5239,Germany,Female,100,0,MAKE-PAYMENT
16/03/2022 11:14,QUICK-PAYMENT-5872,CLIENT-5863,ACCOUNT-5864,USA,Male,45763,CCB,JPMC-CLIENT-5845,ACCOUNT-5856,United States Of America,N/A,152.17,0,QUICK-PAYMENT
16/03/2022 11:24,MOVE-FUNDS-9257,CLIENT-9247,ACCOUNT-9248,TANZANIA,Female,5920,CCB,JPMC-CLIENT-9229,ACCOUNT-9240,United States Of America,Male,845.07,0,MOVE-FUNDS
16/03/2022 11:24,PAY-CHECK-8766,JPMC-CLIENT-8736,ACCOUNT-8748,USA,Male,44065,CCB,JPMC-CLIENT-8738,ACCOUNT-8753,United States Of America,Male,231,0,PAY-CHECK
16/03/2022 11:24,EXCHANGE-3183,JPMC-CLIENT-3155,ACCOUNT-3165,USA,Female,9927,CCB,,,,Male,100.79,0,WITHDRAWAL
16/03/2022 22:44,PAY-BILL-6153,JPMC-CLIENT-6127,ACCOUNT-6137,USA,Female,35355,CCB,COMPANY-6133,ACCOUNT-6142,United States Of America,Male,100,0,MAKE-PAYMENT
16/03/2022 22:54,CASH-CHECK-3465,,,,Female,,,JPMC-CLIENT-3439,ACCOUNT-3450,United States Of America,Male,100.23,0,DEPOSIT-CHECK
16/03/2022 22:54,MAKE-PAYMENT-1722,CLIENT-1714,ACCOUNT-1715,USA,Male,22241,CCB,JPMC-CLIENT-1696,ACCOUNT-1707,United States Of America,Female,474,0,MAKE-PAYMENT
16/03/2022 22:54,QUICK-PAYMENT-1406,CLIENT-1397,ACCOUNT-1398,USA,Male,22609,CCB,JPMC-CLIENT-1379,ACCOUNT-1390,United States Of America,Male,537.59,0,QUICK-PAYMENT
16/03/2022 23:04,MAKE-PAYMENT-6154,CLIENT-6145,ACCOUNT-6146,USA,Female,18584,CCB,JPMC-CLIENT-6127,ACCOUNT-6137,United States Of America,Male,484.42,0,MAKE-PAYMENT
16/03/2022 23:04,MAKE-PAYMENT-5587,JPMC-CLIENT-5558,ACCOUNT-5570,USA,Female,42109,CCB,CLIENT-5560,ACCOUNT-5574,United States Of America,Male,163,0,MAKE-PAYMENT
16/03/2022 23:04,QUICK-PAYMENT-3466,JPMC-CLIENT-3439,ACCOUNT-3449,USA,Female,45018,CCB,JPMC-COMPANY-3441,ACCOUNT-3447,Guadeloupe,Male,892.21,0,QUICK-PAYMENT
16/03/2022 23:04,QUICK-DEPOSIT-2233,,,,N/A,,,JPMC-CLIENT-2208,ACCOUNT-2218,United States Of America,Female,500.02,1,DEPOSIT-CASH
16/03/2022 23:04,EXCHANGE-1408,JPMC-CLIENT-1379,ACCOUNT-1401,UNITED-ARAB-EMIRATES,Female,47424,CCB,,,,Female,244,0,EXCHANGE
16/03/2022 23:14,WITHDRAWAL-10125,JPMC-CLIENT-10098,ACCOUNT-10108,USA,Male,26289,CCB,,,,Male,804.49,0,WITHDRAWAL
16/03/2022 23:14,MAKE-PAYMENT-8205,JPMC-CLIENT-8177,ACCOUNT-8188,USA,Female,10678,CCB,CLIENT-8195,ACCOUNT-8196,United States Of America,Male,121,0,MAKE-PAYMENT
16/03/2022 23:24,PAY-BILL-9258,JPMC-CLIENT-9229,ACCOUNT-9239,USA,Female,2885,CCB,COMPANY-9231,ACCOUNT-9237,Qatar,Male,100,0,MAKE-PAYMENT
16/03/2022 23:24,MOVE-FUNDS-6158,COMPANY-6129,ACCOUNT-6135,USA,Female,42077,CCB,JPMC-CLIENT-6127,ACCOUNT-6137,United States Of America,Male,135.75,0,MOVE-FUNDS
16/03/2022 23:24,DEPOSIT-CASH-5874,,,,Female,,,JPMC-CLIENT-5845,ACCOUNT-5856,United States Of America,Female,311.53,0,DEPOSIT-CASH
16/03/2022 23:34,CASH-CHECK-9844,,,,N/A,,,JPMC-CLIENT-9812,ACCOUNT-9825,United States Of America,Male,207.25,0,DEPOSIT-CHECK
16/03/2022 23:34,MOVE-FUNDS-2520,CLIENT-2510,ACCOUNT-2511,DOMINICA,N/A,4628,CCB,JPMC-CLIENT-2492,ACCOUNT-2502,United States Of America,Female,353.59,1,MOVE-FUNDS
17/03/2022 10:24,CASH-CHECK-556,,,,Female,,,JPMC-CLIENT-536,ACCOUNT-546,United States Of America,N/A,400.96,0,DEPOSIT-CHECK
17/03/2022 10:54,QUICK-PAYMENT-3745,JPMC-CLIENT-3719,ACCOUNT-3729,USA,N/A,24477,CCB,COMPANY-3722,ACCOUNT-3727,Chad,N/A,277.59,0,QUICK-PAYMENT
17/03/2022 10:54,MOVE-FUNDS-1724,JPMC-CLIENT-1696,ACCOUNT-1707,USA,Male,8019,CCB,CLIENT-1714,ACCOUNT-1715,United States Of America,Female,729.67,0,MOVE-FUNDS
17/03/2022 11:04,WITHDRAWAL-8975,JPMC-CLIENT-8947,ACCOUNT-8957,USA,Female,8753,CCB,,,,Male,100.51,0,EXCHANGE
17/03/2022 11:04,MAKE-PAYMENT-1407,JPMC-CLIENT-1379,ACCOUNT-1390,USA,N/A,45664,CCB,CLIENT-1397,ACCOUNT-1398,United States Of America,Female,953.35,0,MAKE-PAYMENT
17/03/2022 11:14,CASH-CHECK-5588,JPMC-CLIENT-5558,ACCOUNT-5569,USA,Female,29684,CCB,,,,Female,19838.58,1,EXCHANGE
17/03/2022 11:14,MAKE-PAYMENT-3467,JPMC-COMPANY-3442,ACCOUNT-3448,USA,Male,12404,CCB,JPMC-CLIENT-3439,ACCOUNT-3450,United States Of America,Female,775,0,MAKE-PAYMENT
17/03/2022 11:24,CASH-CHECK-9260,,,,N/A,,,JPMC-CLIENT-9229,ACCOUNT-9240,United States Of America,N/A,478.18,0,DEPOSIT-CHECK
17/03/2022 11:24,QUICK-PAYMENT-7361,JPMC-CLIENT-7329,ACCOUNT-7344,USA,Male,1232,CCB,JPMC-CLIENT-7331,ACCOUNT-7341,United States Of America,Female,272,0,QUICK-PAYMENT
17/03/2022 11:24,CASH-CHECK-4867,,,,Male,,,JPMC-CLIENT-4835,ACCOUNT-4858,United States Of America,Female,406,0,DEPOSIT-CHECK
17/03/2022 11:34,PAY-BILL-5592,JPMC-CLIENT-5558,ACCOUNT-5570,USA,Male,5095,CCB,JPMC-COMPANY-5565,ACCOUNT-5577,United States Of America,Male,993.68,0,MAKE-PAYMENT
17/03/2022 11:34,EXCHANGE-1960,JPMC-CLIENT-1926,ACCOUNT-1940,USA,Female,32144,CCB,,,,Female,325.18,0,EXCHANGE
17/03/2022 11:44,WITHDRAWAL-9516,JPMC-CLIENT-9483,ACCOUNT-9500,USA,Male,22972,CCB,,,,Female,447.43,0,WITHDRAWAL
17/03/2022 11:44,WITHDRAWAL-4868,JPMC-CLIENT-4835,ACCOUNT-4846,USA,Male,30900,CCB,,,,Male,100.77,0,WITHDRAWAL
17/03/2022 11:44,PAY-BILL-4228,JPMC-CLIENT-4196,ACCOUNT-4207,USA,Female,20105,CCB,COMPANY-4201,ACCOUNT-4210,United States Of America,Female,632,0,MAKE-PAYMENT
17/03/2022 11:44,DEPOSIT-CASH-1959,,,,Male,,,JPMC-CLIENT-1926,ACCOUNT-1941,United States Of America,Male,768.36,0,DEPOSIT-CASH
17/03/2022 11:54,QUICK-PAYMENT-4508,JPMC-CLIENT-4475,ACCOUNT-4486,USA,Male,4126,CCB,CLIENT-4494,ACCOUNT-4495,United States Of America,Female,771.07,0,QUICK-PAYMENT
17/03/2022 11:54,PAY-BILL-4053,JPMC-CLIENT-4020,ACCOUNT-4030,USA,Male,34172,CCB,COMPANY-4023,ACCOUNT-4029,Kuwait,N/A,805,0,MAKE-PAYMENT
17/03/2022 12:04,MAKE-PAYMENT-4870,JPMC-CLIENT-4835,ACCOUNT-4845,USA,Male,15763,CCB,CLIENT-4853,ACCOUNT-4854,Falkland-Islands,Female,434.27,0,MAKE-PAYMENT
17/03/2022 12:24,PAY-CHECK-4872,JPMC-CLIENT-4835,ACCOUNT-4845,USA,Female,43961,CCB,COMPANY-4840,ACCOUNT-4849,Hong-Kong,Female,100.72,0,PAY-CHECK
17/03/2022 22:34,MAKE-PAYMENT-838,JPMC-CLIENT-812,ACCOUNT-822,USA,Male,23939,CCB,COMPANY-817,ACCOUNT-826,United States Of America,Male,290.2,0,MAKE-PAYMENT
17/03/2022 22:54,PAY-BILL-3746,JPMC-CLIENT-3719,ACCOUNT-3729,USA,Female,23987,CCB,COMPANY-3726,ACCOUNT-3735,Djibouti,N/A,291.94,0,MAKE-PAYMENT
17/03/2022 23:04,QUICK-PAYMENT-1725,JPMC-CLIENT-1696,ACCOUNT-1706,USA,Female,31935,CCB,CLIENT-1714,ACCOUNT-1715,United States Of America,N/A,205.56,0,QUICK-PAYMENT
17/03/2022 23:14,QUICK-PAYMENT-1123,JPMC-CLIENT-1093,ACCOUNT-1103,USA,Female,6643,CCB,COMPANY-1095,ACCOUNT-1101,Peru,Female,309,0,QUICK-PAYMENT
17/03/2022 23:24,DEPOSIT-CASH-6159,,,,Male,,,JPMC-CLIENT-6127,ACCOUNT-6156,United States Of America,N/A,704,0,DEPOSIT-CASH
17/03/2022 23:24,PAY-BILL-5255,JPMC-CLIENT-5222,ACCOUNT-5234,USA,Male,43752,CCB,COMPANY-5226,ACCOUNT-5232,Chile,Male,134,0,MAKE-PAYMENT
17/03/2022 23:24,PAY-BILL-1728,JPMC-CLIENT-1696,ACCOUNT-1706,USA,Female,10113,CCB,COMPANY-1701,ACCOUNT-1710,United States Of America,Female,110,0,MAKE-PAYMENT
17/03/2022 23:34,WITHDRAWAL-8979,JPMC-CLIENT-8947,ACCOUNT-8957,USA,Female,35914,CCB,,,,Female,979.23,0,EXCHANGE
17/03/2022 23:34,MAKE-PAYMENT-1729,JPMC-CLIENT-1696,ACCOUNT-1707,USA,N/A,16859,CCB,COMPANY-1702,ACCOUNT-1711,United States Of America,Female,946.42,0,MAKE-PAYMENT
17/03/2022 23:34,QUICK-DEPOSIT-1125,,,,Male,,,JPMC-CLIENT-1093,ACCOUNT-1104,United States Of America,Female,764.99,0,DEPOSIT-CASH
17/03/2022 23:44,PAY-BILL-8980,JPMC-CLIENT-8947,ACCOUNT-8957,USA,Male,44135,CCB,COMPANY-8954,ACCOUNT-8963,Comoros,Male,503.55,0,MAKE-PAYMENT
17/03/2022 23:54,PAY-CHECK-5192,CLIENT-5158,ACCOUNT-5175,CANADA,N/A,44757,CCB,JPMC-CLIENT-5157,ACCOUNT-5170,United States Of America,N/A,158.83,0,PAY-CHECK
18/03/2022 00:04,CASH-CHECK-5195,JPMC-CLIENT-5157,ACCOUNT-5170,USA,Female,9998,CCB,,,,Female,393,0,EXCHANGE
18/03/2022 00:04,DEPOSIT-CHECK-1732,,,,Female,,,JPMC-CLIENT-1696,ACCOUNT-1721,United States Of America,Male,276.08,0,DEPOSIT-CHECK
18/03/2022 00:24,PAYMENT-2813,JPMC-CLIENT-2774,ACCOUNT-2784,USA,N/A,29012,CCB,BILL-COMPANY-2814,ACCOUNT-2815,United States Of America,Female,96.55,0,MAKE-PAYMENT
18/03/2022 11:14,MOVE-FUNDS-3749,JPMC-CLIENT-3719,ACCOUNT-3740,SAO-TOME-PRINCIPE,Male,20184,CCB,CLIENT-3721,ACCOUNT-3728,United States Of America,Female,265.79,0,MOVE-FUNDS
18/03/2022 11:24,PAY-CHECK-5256,CLIENT-5224,ACCOUNT-5237,USA,Female,42265,CCB,JPMC-CLIENT-5222,ACCOUNT-5233,United States Of America,N/A,449.37,0,PAY-CHECK
18/03/2022 11:34,CASH-CHECK-7079,,,,N/A,,,JPMC-CLIENT-7048,ACCOUNT-7059,United States Of America,Female,827.33,0,DEPOSIT-CHECK
18/03/2022 11:34,MOVE-FUNDS-3188,CLIENT-3173,ACCOUNT-3174,USA,Female,41025,CCB,JPMC-CLIENT-3155,ACCOUNT-3166,United States Of America,Male,152,0,MOVE-FUNDS
18/03/2022 11:44,MOVE-FUNDS-9263,JPMC-CLIENT-9229,ACCOUNT-9240,USA,Female,8721,CCB,CLIENT-9247,ACCOUNT-9248,Tanzania,Female,175.57,0,MOVE-FUNDS
18/03/2022 11:44,PAY-BILL-5879,JPMC-CLIENT-5845,ACCOUNT-5856,USA,N/A,14058,CCB,COMPANY-5851,ACCOUNT-5860,United States Of America,Male,144.74,0,MAKE-PAYMENT
18/03/2022 12:24,PAYMENT-9857,JPMC-CLIENT-9812,ACCOUNT-9847,USA,Male,3398,CCB,BILL-COMPANY-9858,ACCOUNT-9859,United States Of America,N/A,8,0,MAKE-PAYMENT
18/03/2022 12:24,PAYMENT-4058,JPMC-CLIENT-4020,ACCOUNT-4031,USA,Female,7395,CCB,CLIENT-4021,ACCOUNT-4033,Canada,Female,400.28,0,MAKE-PAYMENT
18/03/2022 12:24,MOVE-FUNDS-2808,COMPANY-2779,ACCOUNT-2786,GERMANY,Female,43175,CCB,JPMC-CLIENT-2774,ACCOUNT-2784,United States Of America,N/A,2000,0,MOVE-FUNDS
18/03/2022 23:04,QUICK-PAYMENT-562,CLIENT-539,ACCOUNT-548,USA,Male,32272,CCB,JPMC-CLIENT-536,ACCOUNT-545,United States Of America,Female,489.43,0,QUICK-PAYMENT
18/03/2022 23:44,CASH-CHECK-8983,,,,Male,,,JPMC-CLIENT-8947,ACCOUNT-8958,United States Of America,Male,949,0,DEPOSIT-CHECK
18/03/2022 23:54,PAY-CHECK-8984,JPMC-CLIENT-8947,ACCOUNT-8957,USA,Male,16129,CCB,CLIENT-8965,ACCOUNT-8966,Benin,Female,233.05,0,PAY-CHECK
19/03/2022 00:04,PAYMENT-4241,JPMC-CLIENT-4196,ACCOUNT-4206,USA,N/A,31380,CCB,BILL-COMPANY-4242,ACCOUNT-4243,Honduras,Male,76.96,0,MAKE-PAYMENT
19/03/2022 00:04,PAY-BILL-2243,JPMC-CLIENT-2208,ACCOUNT-2219,USA,Male,37318,CCB,JPMC-COMPANY-2211,ACCOUNT-2216,United States Of America,Male,118.65,0,MAKE-PAYMENT
19/03/2022 00:14,MAKE-PAYMENT-9532,CLIENT-9502,ACCOUNT-9503,ANGUILLA,Female,9208,CCB,JPMC-CLIENT-9483,ACCOUNT-9500,United States Of America,Male,294.4,0,MAKE-PAYMENT
19/03/2022 00:44,PAYMENT-1970,JPMC-CLIENT-1926,ACCOUNT-1940,USA,Female,19295,CCB,BILL-COMPANY-1971,ACCOUNT-1972,Russian,Female,45.49,0,MAKE-PAYMENT
19/03/2022 01:04,PAY-BILL-1977,JPMC-CLIENT-1926,ACCOUNT-1941,USA,Female,31149,CCB,COMPANY-1930,ACCOUNT-1936,Germany,Male,100.4,0,MAKE-PAYMENT
19/03/2022 01:14,WITHDRAWAL-1979,JPMC-CLIENT-1926,ACCOUNT-1940,USA,Female,42538,CCB,,,,Male,100,0,WITHDRAWAL
19/03/2022 01:24,WITHDRAWAL-4071,JPMC-CLIENT-4020,ACCOUNT-4030,USA,Male,23882,CCB,,,,N/A,538,0,WITHDRAWAL
19/03/2022 01:34,CASH-CHECK-4072,JPMC-CLIENT-4020,ACCOUNT-4030,USA,Male,43442,CCB,,,,N/A,285.5,0,WITHDRAWAL
19/03/2022 10:44,WITHDRAWAL-843,JPMC-CLIENT-812,ACCOUNT-823,USA,N/A,10507,CCB,,,,Male,431.14,0,EXCHANGE
19/03/2022 11:14,MAKE-PAYMENT-3472,CLIENT-3457,ACCOUNT-3458,USA,Male,17801,CCB,JPMC-CLIENT-3439,ACCOUNT-3450,United States Of America,Male,688.81,0,MAKE-PAYMENT
19/03/2022 11:34,QUICK-PAYMENT-7081,JPMC-CLIENT-7048,ACCOUNT-7058,USA,Female,43536,CCB,CLIENT-7050,ACCOUNT-7063,Canada,Female,966.82,0,QUICK-PAYMENT
19/03/2022 11:44,WITHDRAWAL-3755,JPMC-CLIENT-3719,ACCOUNT-3730,USA,N/A,41309,CCB,,,,N/A,994.73,0,EXCHANGE
